class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.time.field.BaseDateTimeField,1006,5799.942913259033,134,6,83,83,1,1,1272,1269,3,152,0.08326530612244898,48,0.058823529411764705,0,0,0.0,51,1,0,1,191
org.joda.time.field.FieldUtils,369,2509.144069681964,28,5,10,10,0,0,153,153,0,5,-0.08823529411764706,0,0.0,0,0,0.0,18,0,0,0,77
org.joda.time.field.PreciseDurationDateTimeField,167,1324.5810205422229,17,2,7,7,3,2,29,13,16,18,0.25,4,0.26666666666666666,0,0,0.0,10,3,0,2,31
org.joda.time.field.PreciseDateTimeField,147,1408.2591710543024,19,2,12,12,3,3,14,7,7,11,0.3333333333333333,2,0.2857142857142857,0,0,0.0,7,3,0,3,23
org.joda.time.field.MillisDurationField,174,857.4050371293895,34,3,11,11,2,2,253,253,0,3,-0.08225108225108226,23,0.021739130434782608,0,0,0.0,23,2,1,1,50
org.joda.time.field.UnsupportedDateTimeField,547,1639.783611761542,105,7,51,51,4,4,1419,1407,12,60,0.0050798258345428155,17,0.041666666666666664,0,0,0.0,54,4,0,4,122
org.joda.time.field.ScaledDurationField,154,1127.7752969600388,52,2,35,35,2,2,0,0,136,136,1.0,9,0.5,0,0,0.0,17,2,0,2,41
org.joda.time.format.DateTimeFormat,907,7047.968061185373,100,10,75,75,11,3,233,166,67,88,0.2318840579710145,2,0.12,0,0,0.0,25,11,0,3,98
org.joda.time.format.PeriodFormat,407,3287.7514156658926,54,9,45,45,2,2,36,36,0,10,0.07142857142857142,8,0.1111111111111111,0,0,0.0,9,2,0,2,27
org.joda.time.format.ISOPeriodFormat,206,919.3128353015945,65,0,59,59,5,1,15,15,0,0,-0.5,1,0.16666666666666666,0,0,0.0,6,5,0,5,21
org.joda.time.format.PeriodFormatter,344,2717.8745834630317,47,8,28,28,4,4,96,21,75,92,0.48366013071895425,4,0.3815789473684211,0,0,0.0,19,4,0,4,66
org.joda.time.format.PeriodFormatterBuilder,2199,13576.269323571432,112,19,65,65,26,6,1030,979,51,115,0.06666666666666667,1,0.04337152209492635,0,0,0.0,47,26,0,26,178
