class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,129,1111.656108619037,11,1,8,8,5,4,3,3,0,2,0.0,0,0.2,0,0,0.0,3,5,1,4,15
org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,85,872.0959139409357,4,0,0,0,2,2,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,2,1,1,13
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,115,1288.0732874907733,4,0,0,0,2,2,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,2,1,1,15
org.apache.commons.validator.routines.checkdigit.ABANumberCheckDigit,85,998.7497234108511,2,0,0,0,3,3,1,1,0,0,-2.0,1,0.16666666666666666,0,0,0.0,2,3,1,2,5
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit,114,1374.5849241658202,6,0,2,2,4,4,5,4,1,1,-0.6666666666666666,1,0.1875,0,0,0.0,4,4,1,3,14
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,137,1527.4499545541257,16,1,12,12,6,3,5,4,1,3,0.0,0,0.20833333333333334,0,0,0.0,4,6,1,5,16
org.apache.commons.validator.routines.checkdigit.EAN13CheckDigit,78,834.4764910613943,2,0,0,0,3,3,1,1,0,0,-2.0,1,0.16666666666666666,0,0,0.0,2,3,1,2,5
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,111,1414.3192886003153,10,0,7,7,4,4,3,3,0,0,-2.0,1,0.16666666666666666,0,0,0.0,3,4,1,3,10
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,100,1290.4532384769202,5,0,2,2,3,3,3,3,0,0,-2.0,1,0.1111111111111111,0,0,0.0,3,3,1,2,9
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,76,917.7714153159006,2,0,0,0,3,3,1,1,0,0,-2.0,1,0.16666666666666666,0,0,0.0,2,3,1,2,4
