class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
com.fasterxml.jackson.databind.ser.RawValueTest,99,500.45383135790416,21,6,16,16,1,1,0,0,10,10,1.0,0,1.0,0,0,0.0,5,1,0,1,12
com.fasterxml.jackson.databind.node.JsonNodeFactoryTest,39,129.5246434060893,10,3,9,9,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,1,1
com.fasterxml.jackson.databind.node.TextNodeTest,34,139.83664470202234,15,0,14,14,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1
com.fasterxml.jackson.databind.node.POJONodeTest,55,336.4497326172989,8,7,7,7,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,0,0,2
com.fasterxml.jackson.databind.node.ArrayNodeTest,365,1871.9345497900981,164,12,151,151,0,0,78,78,0,0,-0.18181818181818182,0,0.0,0,0,0.0,13,0,0,0,26
com.fasterxml.jackson.databind.node.ObjectNodeTest,469,2485.672283948459,181,9,161,161,1,1,70,0,120,120,0.5906432748538012,4,0.8,0,0,0.0,20,1,0,1,46
com.fasterxml.jackson.databind.seq.SequenceWriterTest,238,1017.6757197593239,72,11,65,65,2,2,11,1,10,10,0.26666666666666666,4,0.42857142857142855,0,0,0.0,7,2,0,2,16
com.fasterxml.jackson.databind.jsontype.TypeDeserializerTest,43,157.9872275118075,8,2,7,7,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2
com.fasterxml.jackson.databind.module.SimpleModuleTest,377,2215.626297910118,81,11,69,69,1,1,63,60,3,3,-0.14545454545454545,9,0.25,0,0,0.0,12,1,0,0,26
com.fasterxml.jackson.databind.util.ClassUtilTest,313,1487.3497660628846,85,9,69,69,1,1,119,118,1,1,-0.13333333333333333,14,0.125,0,0,0.0,16,1,0,0,31
com.fasterxml.jackson.databind.util.EnumValuesTest,67,279.8163117157726,33,5,28,28,3,3,3,0,7,9,0.8333333333333334,1,0.6,0,0,0.0,5,3,0,1,6
com.fasterxml.jackson.databind.util.JSONPObjectTest,37,306.38183020177684,15,3,12,12,2,2,0,0,3,3,1.0,0,1.0,0,0,0.0,3,2,0,2,10
com.fasterxml.jackson.databind.util.BeanUtilTest,147,618.5500112969856,41,6,29,29,0,0,66,66,0,12,0.01818181818181818,0,0.0,0,0,0.0,12,0,0,0,29
