class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.springframework.ws.test.support.matcher.SoapHeaderMatcher,69,468.36060183691154,12,8,10,10,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,7
org.springframework.ws.test.support.matcher.SchemaValidatingMatcher,66,457.7698508467116,10,10,8,8,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,7
org.springframework.ws.test.client.WebServiceMessageMatcherAdapter,45,203.92777161836926,4,5,2,2,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,3
org.springframework.ws.test.server.MockWebServiceClient,221,2064.4021113434524,13,14,9,9,3,3,0,0,6,6,1.0,0,0.75,0,0,0.0,4,3,0,3,8
org.springframework.ws.client.core.WebServiceTemplate,869,7264.591844852304,190,40,136,136,10,8,1379,1327,52,121,0.04934687953555878,5,0.05740740740740741,0,0,0.0,54,10,1,7,185
org.springframework.ws.client.core.SimpleFaultMessageResolver,42,250.46322903802974,1,3,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4
org.springframework.ws.client.support.interceptor.ClientInterceptorAdapter,60,283.9188769669726,4,4,0,0,1,1,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,1,0,0,11
org.springframework.ws.client.support.interceptor.PayloadValidatingInterceptor,65,579.0461275484893,4,2,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4
org.springframework.ws.client.support.destination.Wsdl11DestinationProvider,118,1029.594992738769,18,17,14,14,5,5,2,0,4,4,0.3333333333333333,0,0.45,0,0,0.0,4,5,1,4,9
org.springframework.ws.soap.addressing.server.SimpleActionEndpointMapping,136,1459.9121555988997,19,6,13,13,2,2,11,7,4,5,0.0,4,0.4166666666666667,0,0,0.0,6,2,0,2,17
org.springframework.ws.soap.addressing.messageid.UuidMessageIdStrategy,47,310.5268422113856,5,3,3,3,1,1,1,1,0,0,-2.0,1,0.5,0,0,0.0,2,1,1,0,4
org.springframework.ws.soap.axiom.AxiomSoapFaultDetail,101,424.9150105188251,13,9,8,8,0,0,10,10,0,3,-0.16666666666666666,0,0.0,0,0,0.0,5,0,0,0,11
org.springframework.ws.soap.axiom.AxiomHandler,244,1344.6587578840351,81,19,55,55,5,5,286,247,39,50,0.08333333333333333,5,0.16153846153846155,0,0,0.0,26,5,0,5,54
org.springframework.ws.soap.axiom.NonCachingPayload,294,1328.4141353840553,5,15,2,2,1,1,3,3,0,0,-2.0,3,0.0,0,0,0.0,3,1,0,1,5
org.springframework.ws.soap.axiom.AxiomSoap12Header,103,539.0333708211796,28,16,22,22,0,0,15,15,0,0,-0.5,0,0.0,0,0,0.0,6,0,0,0,18
org.springframework.ws.soap.axiom.AxiomSoap12Body,111,581.3396611580662,40,15,32,32,0,0,28,28,0,5,-0.09523809523809523,0,0.0,0,0,0.0,8,0,0,0,18
org.springframework.ws.soap.axiom.AxiomSoap11Header,63,274.0983641939585,9,10,5,5,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,8
org.springframework.ws.soap.axiom.AxiomSoap11Body,161,943.7392544376299,58,16,48,48,1,1,44,43,1,8,-0.027777777777777776,8,0.2,0,0,0.0,10,1,0,1,27
org.springframework.ws.soap.axiom.support.AxiomUtils,144,1179.9617607474975,28,17,22,22,0,0,15,15,0,0,-0.5,0,0.0,0,0,0.0,6,0,0,0,23
org.springframework.ws.soap.support.SoapUtils,96,635.0336789312959,20,5,16,16,1,1,5,4,1,1,-0.6666666666666666,2,0.5,0,0,0.0,4,1,0,1,13
org.springframework.ws.soap.saaj.SaajSoap12Header,109,557.8800543882413,20,13,15,15,0,0,10,10,0,1,-0.5,0,0.0,0,0,0.0,5,0,0,0,18
org.springframework.ws.soap.saaj.SaajSoap11Body,98,586.1127254350956,24,9,17,17,1,1,20,19,1,5,-0.06666666666666667,5,0.2857142857142857,0,0,0.0,7,1,0,1,17
org.springframework.ws.soap.saaj.SaajSoap11Header,74,390.596401258661,14,10,11,11,0,0,3,3,0,1,-1.0,0,0.0,0,0,0.0,3,0,0,0,9
org.springframework.ws.soap.saaj.SaajSoap12Body,101,623.3820114897081,28,9,20,20,0,0,28,28,0,5,-0.09523809523809523,0,0.0,0,0,0.0,8,0,0,0,20
org.springframework.ws.soap.saaj.support.SaajContentHandler,175,1136.343832026093,46,12,32,32,3,3,78,65,13,14,0.01282051282051282,5,0.23809523809523808,0,0,0.0,14,3,0,3,38
org.springframework.ws.soap.saaj.support.SaajUtils,228,1803.7016611181573,43,16,33,33,4,1,40,35,5,12,0.08333333333333333,2,0.2,0,0,0.0,10,4,3,1,42
org.springframework.ws.soap.saaj.support.SaajXmlReader,210,1336.3933231712851,51,13,41,41,5,3,38,31,7,13,0.1111111111111111,2,0.26,0,0,0.0,10,5,0,5,35
org.springframework.ws.soap.server.SoapMessageDispatcher,180,1654.472209366507,36,18,30,30,3,2,13,11,2,5,0.0,2,0.2222222222222222,0,0,0.0,6,3,1,2,22
org.springframework.ws.soap.server.endpoint.SoapFaultAnnotationExceptionResolver,53,302.21715614481775,14,4,13,13,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4
org.springframework.ws.soap.server.endpoint.SoapFaultMappingExceptionResolver,99,1097.0999876008375,21,4,17,17,1,1,5,4,1,4,0.3333333333333333,2,0.5,0,0,0.0,4,1,0,1,15
org.springframework.ws.soap.server.endpoint.SimpleSoapExceptionResolver,84,778.1806523007741,14,8,10,10,1,1,5,4,1,3,0.0,2,0.5,0,0,0.0,4,1,0,1,10
org.springframework.ws.soap.server.endpoint.SoapFaultDefinitionEditor,99,872.7787724102376,10,6,9,9,3,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,3,0,3,4
