class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
com.google.common.css.compiler.ast.Property,false,false,false,false,true,false,true,true
com.google.common.css.compiler.ast.CssTree,false,false,false,false,false,false,false,false
com.google.common.css.compiler.ast.CssCompositeValueNode,false,false,false,false,false,false,false,false
com.google.common.css.compiler.ast.CssDeclarationNode,false,false,false,false,false,false,false,false
com.google.common.css.compiler.ast.GssParser,false,false,false,false,false,false,false,false
com.google.common.css.compiler.ast.CssPropertyNode,false,false,false,false,false,false,false,false
com.google.common.css.compiler.ast.CssAbstractBlockNode,false,false,false,false,false,false,false,false
com.google.common.css.compiler.ast.CssSelectorNode,false,false,false,false,false,false,false,false
com.google.common.css.compiler.gssfunctions.DefaultGssFunctionMapProvider,false,false,false,false,false,false,false,false
com.google.common.css.compiler.gssfunctions.GssFunctions,false,false,false,false,false,false,true,true
com.google.common.css.compiler.commandline.ClosureCommandLineCompiler,false,false,false,false,false,false,true,false
