class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.springframework.ws.soap.server.endpoint.mapping.SoapActionEndpointMapping,false,false,false,false,false,false,false,false
org.springframework.ws.soap.server.endpoint.interceptor.SoapEnvelopeLoggingInterceptor,false,false,false,false,false,false,false,false
org.springframework.ws.soap.server.endpoint.interceptor.PayloadRootSmartSoapEndpointInterceptor,false,false,false,false,false,false,false,false
org.springframework.ws.soap.server.endpoint.interceptor.SoapActionSmartEndpointInterceptor,false,false,false,false,false,false,false,false
org.springframework.ws.client.support.interceptor.PayloadValidatingInterceptor,false,false,false,false,false,false,false,false
org.springframework.ws.soap.server.endpoint.adapter.method.SoapHeaderElementMethodArgumentResolver,false,false,true,false,false,false,true,false
org.springframework.ws.soap.server.endpoint.adapter.method.SoapMethodArgumentResolver,false,false,false,false,false,false,false,false
org.springframework.ws.config.InterceptorsBeanDefinitionParser,false,false,true,false,false,false,true,false
org.springframework.ws.config.AnnotationDrivenBeanDefinitionParser,false,false,false,false,false,false,true,false
org.springframework.ws.config.annotation.WsConfigurationSupport,false,false,false,false,false,false,true,false
org.springframework.ws.context.DefaultMessageContext,false,false,false,false,false,false,false,false
org.springframework.ws.support.DefaultStrategiesHelper,false,false,true,false,false,false,true,false
org.springframework.ws.support.MarshallingUtils,false,false,false,false,false,false,true,false
org.springframework.ws.pox.dom.DomPoxMessage,false,false,false,false,false,false,true,false
org.springframework.ws.pox.dom.DomPoxMessageFactory,false,false,false,false,false,false,true,false
org.springframework.ws.transport.support.WebServiceMessageReceiverObjectSupport,false,false,true,false,false,false,true,false
org.springframework.ws.transport.http.MessageDispatcherServlet,false,false,false,false,false,false,true,false
org.springframework.ws.transport.http.WebServiceMessageReceiverHandlerAdapter,false,false,false,false,false,false,false,false
org.springframework.ws.transport.http.LastModifiedHelper,false,false,false,false,false,false,false,false
org.springframework.ws.transport.http.XsdSchemaHandlerAdapter,false,false,false,false,false,false,true,false
org.springframework.ws.transport.http.HttpServletConnection,false,false,false,false,false,false,true,false
org.springframework.ws.transport.http.WsdlDefinitionHandlerAdapter,false,false,true,false,false,false,true,false
org.springframework.ws.wsdl.wsdl11.SimpleWsdl11Definition,false,false,false,false,false,false,false,false
org.springframework.ws.wsdl.wsdl11.DefaultWsdl11Definition,false,false,false,false,false,false,true,false
org.springframework.ws.wsdl.wsdl11.Wsdl4jDefinition,false,false,false,false,false,false,false,false
org.springframework.ws.wsdl.wsdl11.provider.Soap11Provider,false,false,false,false,false,false,true,false
org.springframework.ws.wsdl.wsdl11.provider.SuffixBasedPortTypesProvider,false,false,false,false,false,false,false,false
org.springframework.ws.wsdl.wsdl11.provider.SoapProvider,false,false,false,false,false,false,false,false
org.springframework.ws.wsdl.wsdl11.provider.Soap12Provider,false,false,false,false,false,false,true,false
org.springframework.ws.wsdl.wsdl11.provider.DefaultMessagesProvider,false,false,true,false,false,false,true,false
org.springframework.ws.wsdl.wsdl11.provider.SuffixBasedMessagesProvider,false,false,false,false,false,false,false,false
org.springframework.ws.wsdl.wsdl11.provider.InliningXsdSchemaTypesProvider,false,false,true,false,false,false,true,false
org.springframework.ws.server.MessageDispatcher,false,false,true,false,false,false,true,false
org.springframework.ws.server.endpoint.MethodEndpoint,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.mapping.PayloadRootAnnotationMethodEndpointMapping,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.mapping.SimpleMethodEndpointMapping,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.mapping.XPathPayloadEndpointMapping,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.mapping.PayloadRootQNameEndpointMapping,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.mapping.UriEndpointMapping,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.mapping.jaxb.XmlRootElementEndpointMapping,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.interceptor.PayloadLoggingInterceptor,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.interceptor.PayloadTransformingInterceptor,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.support.NamespaceUtils,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.support.PayloadRootUtils,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.adapter.MessageEndpointAdapter,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.MarshallingMethodEndpointAdapter,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.adapter.PayloadMethodEndpointAdapter,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.MessageMethodEndpointAdapter,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.PayloadEndpointAdapter,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.DefaultMethodEndpointAdapter,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.adapter.XPathParamAnnotationMethodEndpointAdapter,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.adapter.GenericMarshallingMethodEndpointAdapter,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.MessageContextMethodArgumentResolver,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.XPathParamMethodArgumentResolver,false,false,true,false,false,false,true,false
org.springframework.ws.server.endpoint.adapter.method.StaxPayloadMethodArgumentResolver,false,false,false,false,false,false,true,false
org.springframework.ws.server.endpoint.adapter.method.MarshallingPayloadMethodProcessor,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.SourcePayloadMethodProcessor,false,false,true,false,false,false,true,false
org.springframework.ws.server.endpoint.adapter.method.jaxb.JaxbElementPayloadMethodProcessor,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.jaxb.XmlRootElementPayloadMethodProcessor,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.dom.DomPayloadMethodProcessor,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.dom.Dom4jPayloadMethodProcessor,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.dom.JDomPayloadMethodProcessor,false,false,false,false,false,false,false,false
org.springframework.ws.server.endpoint.adapter.method.dom.XomPayloadMethodProcessor,false,false,false,false,false,false,true,false
org.springframework.ws.transport.xmpp.support.XmppConnectionFactoryBean,false,false,false,false,false,false,false,false
org.springframework.ws.transport.jms.support.JmsTransportUtils,false,false,false,false,false,false,true,false
org.springframework.ws.transport.mail.support.MailTransportUtils,false,false,false,false,false,false,true,false
