class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.joda.collect.grid.SparseImmutableGrid,false,false,false,false,false,false,false,false
org.joda.collect.grid.SingletonGrid,false,false,false,false,false,false,false,false
org.joda.collect.grid.DenseImmutableGrid,false,false,false,false,false,false,true,false
org.joda.collect.grid.EmptyGrid,false,false,false,false,false,false,false,false
org.joda.collect.grid.ImmutableGrid,false,false,false,false,false,false,false,false
org.joda.collect.grid.DenseGrid,false,false,false,false,false,false,true,false
org.joda.collect.grid.ImmutableCell,false,false,false,false,false,false,false,false
org.joda.collect.grid.SparseGrid,false,false,false,false,false,false,false,false
