class,csm_CDSBP,csm_CC,csm_FE,csm_FD,csm_Blob,csm_LM,csm_MC,csm_SC
org.apache.commons.configuration2.tree.DefaultConfigurationKey,false,false,true,false,true,false,false,false
org.apache.commons.configuration2.tree.NodeAddData,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.TreeData,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.TrackedNodeModel,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.NodeUpdateData,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.OverrideCombiner,false,false,true,false,false,false,false,false
org.apache.commons.configuration2.tree.ImmutableNode,false,false,false,false,true,false,false,false
org.apache.commons.configuration2.tree.DefaultExpressionEngine,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.QueryResult,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.DefaultExpressionEngineSymbols,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.MergeCombiner,false,false,true,false,false,false,false,false
org.apache.commons.configuration2.tree.InMemoryNodeModel,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.tree.UnionCombiner,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.xpath.ConfigurationAttributePointer,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.xpath.XPathExpressionEngine,false,false,false,false,true,false,true,false
org.apache.commons.configuration2.tree.xpath.XPathContextFactory,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.xpath.ConfigurationNodePointerFactory,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.xpath.ConfigurationNodeIteratorChildren,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.tree.xpath.ConfigurationNodePointer,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.JndiBuilderParametersImpl,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.DefaultParametersManager,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.DatabaseBuilderParametersImpl,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.XMLBuilderParametersImpl,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.PropertiesBuilderParametersImpl,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.BasicBuilderParameters,false,false,false,false,true,false,true,false
org.apache.commons.configuration2.builder.BasicConfigurationBuilder,false,false,false,false,true,false,true,false
org.apache.commons.configuration2.builder.FileBasedConfigurationBuilder,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.builder.HierarchicalBuilderParametersImpl,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.ReloadingBuilderSupportListener,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.ReloadingFileBasedConfigurationBuilder,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.BuilderConfigurationWrapperFactory,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.AutoSaveListener,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.CopyObjectDefaultHandler,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.DefaultReloadingDetectorFactory,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.EventListenerParameters,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.combined.CombinedConfigurationBuilder,false,false,true,false,true,false,true,true
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder,false,false,false,false,true,false,true,false
org.apache.commons.configuration2.builder.combined.BaseConfigurationBuilderProvider,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.builder.combined.CombinedBuilderParametersImpl,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.builder.combined.ConfigurationDeclaration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.builder.combined.FileExtensionConfigurationBuilderProvider,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.combined.MultiFileBuilderParametersImpl,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.builder.fluent.Configurations,false,false,false,false,true,false,false,false
org.apache.commons.configuration2.builder.fluent.Parameters,false,false,false,false,false,false,true,false
org.apache.commons.configuration2.web.ServletConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.web.ServletContextConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.web.ServletFilterConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.web.AppletConfiguration,false,false,false,false,false,false,false,false
org.apache.commons.configuration2.web.ServletRequestConfiguration,false,false,false,false,false,false,false,false
